dataset_id,scenario_id,ego_id,preceding_id,frame,ego_x,ego_y,ego_vx,ego_vy,ego_ax,ego_ay,preceding_x,preceding_y,preceding_vx,preceding_vy,preceding_ax,preceding_ay
1,2,50,47,0,0.0,0.0,40.28,-0.18,0.35,0.0,61.68000000000001,0.08999999999999986,39.55,0.07,0.17,0.09
1,2,50,47,1,1.4799999999999995,0.0,40.3,-0.18,0.35,0.01,63.260000000000005,0.08999999999999986,39.55,0.07,0.17,0.09
1,2,50,47,2,3.01,-0.010000000000001563,40.31,-0.18,0.36,0.01,64.84,0.10000000000000142,39.56,0.08,0.17,0.08
1,2,50,47,3,4.57,-0.019999999999999574,40.32,-0.18,0.36,0.01,66.42,0.10000000000000142,39.57,0.08,0.17,0.08
1,2,50,47,4,6.15,-0.030000000000001137,40.34,-0.18,0.36,0.02,68.0,0.10000000000000142,39.57,0.08,0.16,0.08
1,2,50,47,5,7.75,-0.03999999999999915,40.35,-0.18,0.37,0.02,69.58,0.10999999999999943,39.58,0.09,0.16,0.08
1,2,50,47,6,9.35,-0.03999999999999915,40.37,-0.18,0.37,0.02,71.17,0.10999999999999943,39.59,0.09,0.16,0.08
1,2,50,47,7,10.95,-0.05000000000000071,40.38,-0.17,0.37,0.03,72.75,0.10999999999999943,39.59,0.09,0.16,0.07
1,2,50,47,8,12.57,-0.05999999999999872,40.4,-0.17,0.38,0.03,74.34,0.120000000000001,39.6,0.1,0.16,0.07
1,2,50,47,9,14.190000000000001,-0.05999999999999872,40.41,-0.17,0.38,0.03,75.93,0.120000000000001,39.61,0.1,0.15,0.07
1,2,50,47,10,15.82,-0.07000000000000028,40.43,-0.17,0.38,0.04,77.5,0.120000000000001,39.61,0.1,0.15,0.07
1,2,50,47,11,17.44,-0.08000000000000185,40.45,-0.17,0.38,0.04,79.08,0.129999999999999,39.62,0.1,0.15,0.07
1,2,50,47,12,19.07,-0.08000000000000185,40.46,-0.16,0.38,0.04,80.67,0.129999999999999,39.62,0.11,0.15,0.06
1,2,50,47,13,20.7,-0.08999999999999986,40.48,-0.16,0.37,0.05,82.24000000000001,0.129999999999999,39.63,0.11,0.15,0.06
1,2,50,47,14,22.32,-0.08999999999999986,40.49,-0.16,0.37,0.05,83.82000000000001,0.14000000000000057,39.64,0.11,0.15,0.06
1,2,50,47,15,23.94,-0.10000000000000142,40.51,-0.16,0.37,0.05,85.41,0.14000000000000057,39.64,0.11,0.14,0.06
1,2,50,47,16,25.56,-0.10999999999999943,40.52,-0.16,0.37,0.06,87.0,0.14999999999999858,39.65,0.12,0.14,0.06
1,2,50,47,17,27.18,-0.10999999999999943,40.54,-0.15,0.36,0.06,88.58,0.14999999999999858,39.65,0.12,0.14,0.05
1,2,50,47,18,28.8,-0.120000000000001,40.55,-0.15,0.36,0.06,90.16,0.16000000000000014,39.66,0.12,0.14,0.05
1,2,50,47,19,30.430000000000003,-0.120000000000001,40.57,-0.15,0.36,0.06,91.75,0.16000000000000014,39.66,0.12,0.14,0.05
1,2,50,47,20,32.06,-0.129999999999999,40.58,-0.15,0.35,0.07,93.33,0.16999999999999815,39.67,0.13,0.13,0.05
